17:49:44:348 [ALWAYS]	GUDE Logging Started
17:49:44:350 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:49:44:350 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:49:44:350 [ERROR]	Initialize resume cache pointer failure
17:49:44:350 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
17:49:44:350 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
17:49:47:899 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
17:49:47:899 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:49:47:899 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:49:47:899 [ERROR]	Initialize resume cache pointer failure
17:49:47:899 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
17:49:47:899 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
